Start Date,Response ID,"Enter a date: 
 
 
 



Qualtrics.SurveyEngine.addOnload(function ()
{
  var qid = this.questionId;
  var calid = qid + '_cal';
  var y = QBuilder('div');
  $(y).setStyle({clear:'both'});
  var d = QBuilder('div',{className:'yui-skin-sam'},[
    QBuilder('div', {id:calid}),
    y
  ]);
  
  var c = this.questionContainer;
  c = $(c).down('.QuestionText');
  c.appendChild(d);
  var cal1 = new YAHOO.widget.Calendar(calid); 
  cal1.render(); 
  var input = $('QR~' + qid);
  $(input).setStyle({marginTop: '20px',width: '150px'});
  var p =$(input).up();
  var x = QBuilder('div');
  $(x).setStyle({clear:'both'});
  p.insert(x,{position:'before'});
    cal1.selectEvent.subscribe(function(e,dates){
    var date = dates[0][0];
    if (date[1]",State:,Local Government Area (LGA):,Organisations involved in the meeting: - Selected Choice,Topics discussed in the meeting: - Selected Choice,List any challenges identified in the meeting:,Is there a new project resulted from the meeting?,Select project type: - Selected Choice,Sharing this report with relevant parties within NBRA for further information?,Please select the relevant parties to share this report to: - Selected Choice
27/03/2020 16:00,R_cRMovmDzAmaNPy5,27/03/2020 16:00,New South Wales (NSW),NSW - Cumberland,"Local Council,Builder,Rural Fire Service (RFS),Utility Provider,Others:","Infrastructure rebuilding,Local initiatives,Jobs creation,Others:",We need to establish more work. This will be important to our community as it will bring back a sense of normality. More training may need to be implemented to allow for this to happen.,No,,No,"Infrastructure Rebuilding Department,Tourism Department,Small Business Support Department,Environment & Wildlife Department"
15/04/2020 16:00,R_3PdTEtTBT3EiiEt,15/04/2020 16:00,New South Wales (NSW),NSW - Dungong,"Local Council,Builder",Local initiatives,issues with the cabling in the most severely affected zones. This could be dangerous and potentially cause further devastation. Luckily this problem is not present in most areas.,No,,No,"Tourism Department,Small Business Support Department"
10/04/2020 16:00,R_bdXeSExCY8zoywJ,10/04/2020 16:00,New South Wales (NSW),NSW - Cumberland,"Builder,Rural Fire Service (RFS)","Infrastructure rebuilding,Local initiatives",residents need to establish more counselling. This will be important to encourage our community to commence working and rebuilding the town.,Yes,Emergency Relief,No,"Infrastructure Rebuilding Department,Small Business Support Department,Environment & Wildlife Department"
11/03/2020 16:00,R_25LtGRiNVUz4Cix,11/03/2020 16:00,New South Wales (NSW),NSW - Dungong,,"Infrastructure rebuilding,Jobs creation,Others:",power installation are faulty and sparking in several areas. community moral is still strong.,Yes,Emergency Relief,No,"Infrastructure Rebuilding Department,Tourism Department,Small Business Support Department"
12/05/2020 16:00,R_6YBHtfPT8AMuZAF,12/05/2020 16:00,New South Wales (NSW),NSW - Fairfield,"Local Council,Local businesses",Debris removal,,No,,No,Infrastructure Rebuilding Department
8/03/2020 17:00,R_56JqelFgM9VzPQF,8/03/2020 17:00,New South Wales (NSW),NSW - Eurobodalla,"Rural Fire Service (RFS),Others:","Infrastructure rebuilding,Local initiatives",residents have felt that the rebuilding of local communities is still struggling. We are in need of mentors for both physical volunteering and for business planning. We have already received the government's budget which has helped a lot already.,Yes,Infrastructure ,No,
20/04/2020 16:00,R_3sZ3LopVRgCisg5,20/04/2020 16:00,New South Wales (NSW),NSW - Eurobodalla,"Local Council,Builder,Rural Fire Service (RFS)","Infrastructure rebuilding,Local initiatives,Jobs creation",local businesses have require bushfire relief to restart their businesses,No,,No,
29/04/2020 16:00,R_3fnTv6T09W9obkh,29/04/2020 16:00,New South Wales (NSW),NSW - Fairfield,"Local Council,Builder,Utility Provider","Debris removal,Local initiatives,Others:",There have been issues with the cabling in the most severely affected zones. This could be dangerous and potentially cause further devastation. Luckily this problem is not present in most areas.,Yes,Emergency Relief,No,"Small Business Support Department,Environment & Wildlife Department"
20/04/2020 16:00,R_0xijXoa156jdVWJ,20/04/2020 16:00,New South Wales (NSW),NSW - Fairfield,"Local Council,Utility Provider",Debris removal,"cabling are faulty and sparking in several areas. This is also affecting the electricity poles and could be hazardous. However, this is not affecting reconstruction.",Yes,Emergency Relief,No,"Infrastructure Rebuilding Department,Tourism Department"
7/04/2020 16:00,R_6F28LbzC9RYaWVv,7/04/2020 16:00,New South Wales (NSW),NSW - Fairfield,"Local Council,Others:","Debris removal,Local initiatives",in need of volunteers to aid the reconstruction of businesses.,Yes,Emergency Relief,No,"Tourism Department,Small Business Support Department"
