Project Number,Project Name,Keywords,Description,Requirement
Project 1,Small business bushfire support grants,"grants, business, costs, jobs, loan, water, electricity","Offering  $10,000 Small Business Bushfire Support Grants to small businesses and primary producers in East Gippsland, Towong and Alpine Shires that are affected by bushfire. They must have experienced a 40 per cent decline in revenue over a 3 month period as a result of this season’s bushfires These assistance grants are provided to support eligible small businesses to recover from the bushfires and rebuild resilient businesses, for example:
* meeting business costs, including water, electricity, salaries and rent;
* seeking financial advice to support the recovery of the business and jobs creation;
* developing the business through marketing and communications activities or
* improvements to make the business more resilient to future disasters.

The Victorian Small Business Bushfire Support Grant is funded by the Commonwealth Government. it's easy to apply. Businesses aren't required to upload any financial documents if they don't have them right now. In addition, elligible businesses can also apply for loan up to $50,000 to rebuild their business.","The small businesses must be in East Gippsland, Towong and Alpine Shires and are affected by bushfire. They must have experienced a 40 per cent decline in revenue over a 3 month period as a result of this season’s bushfires  Businesses aren't required to upload any financial documents if they don't have them right now. "
Project 2,Clematis & Menzies Creek Bushfire Preparedness Project,"training, workshop, assistance","Cardinia Shire Council and Yarra Ranges Council worked with the communities of Clematis and Menzies Creek to develop a shared understanding of the current level of bushfire and emergency preparedness in Clematis and Menzies Creek
increase bushfire preparedness in the Clematis and Menzies Creek townships
promote a culture of working together, including councils with other councils, councils with fire and environment agencies, and the communities of high bushfire risk-townships that share a municipal boundary.
 
Community involvement and assitance including trainings and workshops to people in the community will be provided. Several training sessions include what to do when there is a fire, early spot of fire workshop and many others","Must be a community in Clematis or Menzies Creek, with the Cardinia Shire Council or Yarra Ranges Council "
Project 2.1,Joint Planning,"preparation, CFA, FFMVic, fuel management ","This project is developing a model for cross agency planning for fuel management, preparation for planned burning and engagement activities to improve interoperability between Country Fire Authority (CFA) and Forest Fire Management Victoria (FFMVic). The project team is responsible for understanding the capacity and capability required to deliver joint planning, preparation and engagement, develop joint fuel management program and preparation of common burn plans.

The first Joint Fuel Management Program was approved by CFA’s Deputy Chief Officer and FFMVic’s Chief Fire Officer in October 2018.",This project relates to CFA and FFMVic relations only
Project 2.2,Joint Delivery,"resource coordination, burn planning, preparation","This project is establishing a joint FFMVic and CFA regional process for selection of burns and resource coordination. It will also see agreed principles and processes for tenure blind use of funds for operations, appliance coordination, use of resources including machinery, hazardous trees management, and burn planning and preparation work.",This project relates to CFA and FFMVic relations only
Project 2.3,Expanding strategic bushfire management planning,"plan, planning, prevention, strategic mitigation","This project is supporting regional multi-agency teams to deliver a strategic bushfire management planning process across both public and private land. The project’s other intention is to incorporate additional strategic mitigations, particularly prevention and suppression. These are being piloted in Gippsland and Loddon-Mallee regions.
 ",Gippsland and Loddon-Mailee regions only
Project 2.4,Shared Doctrine Framework,"resource management, fuel management",This project is producing a shared doctrine framework to guide the development and maintenance of shared fuel management standards and procedures between the Country Fire Authority and Forest Fire Management Victoria.,This project relates to CFA and FFMVic relations only
Project 2.5,Common Burn Risk Assessment Tool,"training, burn, burn assesment, degree of burn","This project is delivering a burn risk assessment approach, which will determine complexity level and community risk to improve interoperability between agencies planned burning risk assessments",Relates to any agency with current burn risk assessments
Project 2.7,Common Quality Assurance System for Fuel Management,"risk assesment, fuel management, fuel quality",This project is establishing a common quality assurance system and consistent statewide processes and mechanisms for continuous improvement and lesson management and sharing. This will improve interoperability between agencies for planned burning quality assurance.,Relates to any agency with current assurance systems
Project 2.8,Cultural Burning Practices,"Registered Aboriginal Party, fuel management, traditional burning",This project is focussed on supporting traditional owners and Registered Aboriginal Parties in undertaking fuel management on all land tenures and providing opportunities for traditional owners to develop their capacity and capability in traditional burning. The project is supporting the work by the Federation of Traditional Owners on the Victorian Cultural Burning Strategy.,Must be a traditional owner or part of a Registered Aboriginal Party
Project 2.9,Safer Together Policy and Legislative Enablers,"bushfire fuel, fuel management, modernise tools","This project is delivering solutions to align policy and legislative settings with the Government’s overarching vision for whole of landscape bushfire fuel management. The project will identify any legislative changes required to support greater local government and public authority participation in fuel management, management objectives for whole of landscape bushfire fuel management and propose options to modernise the legislative tools available.",This project relates only to government legislation
